stock_name,price_nse,price_bse,eps,dividend_yield,face_value,dividend,p_to_e,industry_p_to_e,book_value,p_to_b,avg_dividend,2019 Net,2018 Net,2017 Net,2016 Net,2015 Net,2019 EPS,2018 EPS,2017 EPS,2016 EPS,2015 EPS,2019 ESC,2018 ESC,2017 ESC,2016 ESC,2015 ESC,2019 Profit,2018 Profit,2017 Profit,2016 Profit,2015 Profit
Shree Digvijay Cement Company Ltd.,22.60,22.65,2.2,-,10.00,0.00,10.3,28.61,15.54,1.45,0.0,432.92,414.42,319.14,372.02,413.69,0.15,0.0,-1.0,-0.32,0.26,141.38,141.38,141.37,141.37,141.38,2.06,13.37,-14.17,-4.47,3.65
NCL Industries Ltd.,55.40,55.30,15.38,4.51,10.00,25.00,3.6,28.61,110.47,0.50,19.0,979.88,880.4,767.33,662.72,535.8,10.34,12.51,14.9,14.56,2.55,45.23,45.23,36.73,36.73,34.94,46.78,49.11,54.73,53.08,8.9
Visaka Industries Ltd.,135.00,134.65,35.57,5.19,10.00,70.00,3.79,6.32,314.50,0.43,60.0,1136.41,1012.32,966.73,1004.85,1021.13,42.45,41.91,25.69,15.39,13.37,15.88,15.88,15.88,15.92,15.92,67.41,66.56,40.8,24.44,21.24
Saurashtra Cement Ltd.,28.20,,6.41,-,10.00,0.00,4.4,28.61,57.94,0.49,6.0,621.19,573.65,485.51,529.7,562.71,-0.7,9.04,1.5,7.51,13.03,69.34,69.19,69.19,60.19,51.19,-4.87,62.53,9.64,43.78,67.6
Everest Industries Ltd.,131.00,131.10,20.71,5.73,10.00,75.00,6.33,6.32,289.52,0.45,50.0,1404.14,1244.85,1155.38,1313.36,1230.5,41.08,33.54,1.6,23.0,22.45,15.64,15.63,15.42,15.39,15.29,64.2,50.68,2.46,35.31,34.21
Mangalam Cement Ltd.,150.00,149.95,23.25,0.33,10.00,5.00,6.45,28.61,188.61,0.80,8.5,1195.07,1086.14,908.57,841.76,921.85,-3.65,4.26,13.72,-7.67,6.71,26.69,26.69,26.69,26.69,26.69,-9.74,11.38,36.63,-20.47,17.92
Gujarat Sidhee Cement Ltd.,15.00,14.85,3.7,-,10.00,0.00,4.01,28.61,42.89,0.35,0.0,563.01,536.35,437.36,469.07,484.03,-0.81,3.86,-4.53,-1.0,-1.05,86.97,86.21,86.21,86.21,71.21,-6.97,33.26,-39.04,-7.22,-4.49
Vikas Multicorp Ltd.,1.16,1.15,-,-,1.00,0.00,-,40.14,1.36,0.85,0.0,195.35,66.74,100.54,93.33,81.11,0.0,0.01,0.25,0.23,1.33,66.35,42.48,30.34,3.15,3.15,2.38,0.57,0.69,0.7,0.42
Shiva Cement Ltd.,7.59,,-,-,2.00,0.00,-,28.61,1.51,5.03,0.0,29.38,25.26,21.97,67.66,66.25,-1.09,-1.59,0.0,0.0,0.13,39.0,39.0,39.0,39.55,39.55,-21.26,-31.09,-20.82,0.01,2.5
HIL Ltd.,655.85,652.40,111.48,3.81,10.00,250.00,5.85,6.32,864.96,0.76,210.0,1481.94,1278.61,1060.41,1102.18,1109.38,135.94,108.21,73.12,53.15,89.59,7.5,7.49,7.49,7.49,7.49,101.52,80.75,54.57,39.66,66.86
Kakatiya Cements Ltd.,110.00,110.80,15.29,2.73,10.00,30.00,7.25,28.61,285.14,0.39,28.8,110.61,150.88,220.12,210.36,192.74,6.63,13.48,36.94,28.54,18.15,7.77,7.77,7.77,7.77,7.77,5.16,10.48,28.72,22.18,14.11
Andhra Cement Ltd.,1.65,1.65,-,-,10.00,0.00,-,28.61,-10.81,-,0.0,321.24,466.26,349.29,151.54,0.0,-6.14,-2.42,-3.51,-2.87,-2.66,293.52,293.52,293.52,293.52,293.52,-180.13,-71.09,-103.12,-84.22,-78.21
Resonance Specialities Ltd.,26.45,,5.61,-,10.00,0.00,4.71,12.69,18.05,1.47,1.0,41.63,35.96,34.98,39.12,38.89,2.78,-0.59,0.89,1.03,1.11,11.54,11.54,11.54,11.54,11.54,3.2,-0.77,1.02,1.19,1.28
Barak Vally Cements Ltd.,10.46,7.55,1.64,-,10.00,0.00,4.6,28.61,38.18,0.27,0.0,139.67,149.73,122.53,109.22,128.43,1.36,1.28,0.61,-0.97,1.62,22.16,22.16,22.16,22.16,22.16,3.03,2.83,1.35,-2.15,3.59
Sahyadri Industries Ltd.,68.00,,27.92,1.47,10.00,10.00,2.44,6.32,170.13,0.40,5.0,296.62,270.86,261.56,363.02,437.65,33.36,25.61,3.33,-11.4,7.44,9.56,9.56,9.56,9.56,9.56,31.9,24.42,3.18,-10.9,7.12
Polylink Polymers (India) Ltd.,6.69,,0.37,-,5.00,0.00,18.08,11.61,10.09,0.66,0.0,47.04,34.46,32.03,35.99,37.04,0.5,0.67,0.58,0.83,0.17,11.06,11.06,11.06,11.06,11.06,1.11,1.49,1.28,1.82,0.38
Deepak Nitrite Ltd.,376.80,380.45,35.51,0.53,2.00,100.00,10.71,15.22,77.56,4.86,67.0,1791.92,1454.98,1221.56,1335.73,1327.16,10.12,6.34,4.55,6.07,5.11,27.28,27.28,26.14,23.26,20.91,138.04,83.46,112.04,65.15,53.44
Skyline Millars Ltd.,2.38,,0.15,-,1.00,0.00,15.87,9.14,5.85,0.41,0.0,4.5,3.04,2.39,8.75,6.17,-0.05,-0.85,-1.41,-0.86,-1.19,4.02,4.02,4.02,4.02,4.02,-0.21,-3.41,-5.69,-3.48,-4.77
Gujarat Alkalies and Chemicals Ltd.,224.20,223.30,66.83,3.57,10.00,80.00,3.34,3.94,585.08,0.38,57.0,3161.38,2454.5,2070.21,1966.1,1948.12,93.91,72.85,41.95,30.18,31.03,73.44,73.44,73.44,73.44,73.44,689.65,535.02,308.1,221.67,227.86
Himadri Speciality Chemical Ltd.,35.45,34.95,5.08,0.42,1.00,15.00,6.88,40.14,40.05,0.89,8.0,2376.62,1971.17,1324.17,1151.84,1377.5,7.34,5.8,1.94,-0.31,-0.37,41.86,41.84,41.84,41.84,38.57,307.3,242.58,81.18,-12.08,-14.4
Solar Industries India Ltd.,912.75,908.25,25.09,0.77,2.00,350.00,36.2,39.88,97.81,9.33,259.0,1663.22,1273.27,1137.31,1089.5,1014.75,21.16,14.84,14.6,61.48,59.63,18.1,18.1,18.1,18.1,18.1,191.47,134.26,132.58,111.26,107.92
Elantas Beck India Ltd.,2201.95,,62.52,0.23,10.00,50.00,35.22,12.69,484.42,4.55,47.0,394.07,409.12,382.56,365.25,344.16,62.52,82.98,69.79,68.73,52.67,7.93,7.93,7.93,7.93,7.93,49.56,65.79,55.32,54.49,41.76
INEOS Styrolution India Ltd.,525.00,525.25,-,0.38,10.00,20.00,-,18.44,354.41,1.48,28.0,2090.53,1895.34,1482.35,1597.02,1195.29,-7.09,37.66,39.4,35.69,14.68,17.59,17.59,17.59,17.59,17.59,-12.47,66.23,69.28,62.77,25.81
National Peroxide Ltd.,1175.00,,55.28,5.53,10.00,650.00,21.26,15.22,1070.28,1.10,358.0,401.5,301.88,255.46,233.53,196.3,266.28,165.51,83.26,31.27,10.85,5.75,5.75,5.75,5.75,5.75,153.03,95.12,47.85,17.97,6.24
Grauer and Weil (India) Ltd.,34.00,,3.02,1.76,1.00,60.00,11.26,40.14,17.71,1.92,42.0,599.15,493.18,441.94,422.86,416.34,2.81,2.67,2.26,1.72,1.46,22.67,22.67,22.67,22.67,22.67,63.71,60.56,51.24,39.05,33.19
NOCIL Ltd.,67.70,67.75,8.72,3.69,10.00,25.00,7.77,18.44,69.38,0.98,18.0,1042.9,967.64,742.21,715.21,719.0,11.14,10.27,7.42,4.83,3.53,165.42,164.48,163.58,160.79,160.79,184.09,168.61,120.1,77.74,56.76
Oriental Carbon and Chemicals Ltd.,564.90,558.20,73.53,2.12,10.00,120.00,7.59,3.55,413.93,1.36,98.0,387.64,328.23,297.45,274.72,282.57,72.09,55.12,51.9,51.46,49.84,10.01,10.31,10.31,10.31,10.31,73.74,56.75,53.43,52.99,51.32
Transpek Industry Ltd.,1229.00,,141.17,1.63,10.00,200.00,8.71,40.14,557.51,2.20,101.0,594.57,366.57,316.64,283.71,259.35,117.69,47.27,50.9,36.24,24.16,5.59,5.59,5.59,5.87,5.87,65.74,26.4,29.41,21.28,11.05
India Glycols Ltd.,214.00,214.25,43.77,2.80,10.00,60.00,4.89,4.92,347.02,0.62,22.0,3356.02,3027.77,2473.41,2322.23,2557.41,47.87,31.68,14.38,-11.03,-19.81,30.96,30.96,30.96,30.96,30.96,148.22,98.08,44.52,-34.16,-61.34
Bhansali Engineering Polymers Ltd.,29.50,30.00,3.74,1.69,1.00,50.00,8.02,18.44,18.02,1.64,24.0,1224.78,1031.69,626.15,530.86,601.06,2.8,6.01,2.1,1.01,0.33,16.59,16.59,16.59,16.59,16.59,46.53,99.64,34.77,16.69,5.4
GOCL Corporation Ltd.,125.25,125.65,3.29,3.19,2.00,200.00,38.19,12.67,77.81,1.61,107.0,98.6,88.04,97.43,102.15,109.38,5.82,4.48,3.9,3.55,6.19,9.91,9.91,9.91,9.91,9.91,27.86,22.22,19.31,17.61,30.68
ORIENTAL AROMATICS Ltd.,132.00,135.25,19.45,0.76,5.00,20.00,6.95,12.69,116.48,1.13,17.0,752.55,505.42,351.27,353.09,355.79,17.82,36.05,46.82,42.51,34.47,16.83,8.41,5.13,5.13,5.13,49.88,30.33,24.15,22.69,19.26
Thirumalai Chemicals Ltd.,37.65,37.80,4.2,5.31,1.00,200.00,9,40.14,56.84,0.66,145.5,994.25,1011.61,861.46,780.44,926.55,9.0,166.67,73.71,41.73,13.87,10.24,10.24,10.24,10.24,10.24,96.09,143.99,75.47,42.73,14.21
Andhra Petro Ltd.,17.00,,4.84,8.82,10.00,15.00,3.51,3.13,26.65,0.64,3.0,665.86,518.2,328.9,335.66,140.26,8.22,5.47,-0.87,-3.65,-5.24,84.97,84.97,84.97,84.97,84.97,69.83,46.5,-7.36,-24.08,-44.52
Bodal Chemicals Ltd.,42.15,41.70,8.31,1.90,2.00,40.00,5.02,15.19,68.13,0.62,30.0,1379.36,1121.0,1184.14,909.83,1045.31,11.78,11.11,11.79,7.94,8.43,24.44,24.44,21.82,21.82,21.82,144.07,127.54,128.61,86.6,92.02
Mangalam Organics Ltd.,195.60,,59.36,0.51,10.00,10.00,3.3,12.69,141.68,1.38,4.0,424.62,240.83,176.51,200.87,239.1,84.05,15.82,5.27,-11.42,4.64,8.56,9.05,9.05,9.05,9.05,72.66,14.46,4.77,-10.34,4.2
DCW Ltd.,7.74,7.60,0.55,-,2.00,0.00,13.82,11.61,24.50,0.32,0.0,1352.8,1187.42,1175.8,1271.6,1254.47,-0.16,-0.99,0.91,0.86,-0.28,44.2,44.2,43.94,43.94,42.7,-4.27,-20.2,20.15,18.55,-5.92
Tamilnadu Petroproducts Ltd.,25.05,24.85,7.17,3.99,10.00,10.00,3.47,4.23,45.41,0.55,3.0,1245.33,1048.9,888.86,700.63,949.87,6.03,5.19,1.06,4.24,-5.9,89.97,89.97,89.97,89.97,89.97,54.27,46.71,9.55,38.15,-53.07
Sree Rayalaseema Hi Strength Hyp Ltd.,75.00,73.80,11.19,2.67,10.00,20.00,6.6,15.22,189.52,0.40,17.0,702.14,555.47,366.48,363.46,392.37,11.9,22.45,11.85,12.72,13.16,17.16,16.31,15.49,14.72,14.72,20.43,36.61,18.36,18.72,19.37
Diamines and Chemicals Ltd.,145.00,,20.44,3.45,10.00,50.00,7.09,11.61,49.89,2.91,18.0,47.32,38.44,34.81,35.58,39.09,13.42,7.25,4.37,0.26,-1.59,9.78,9.78,9.78,9.78,9.78,13.13,7.09,4.28,0.25,-1.55
Riddhi Siddhi Gluco Biols Ltd.,201.90,,137.14,0.99,10.00,20.00,1.47,24.85,1742.17,0.12,21.6,151.44,370.27,117.81,52.85,45.58,62.45,54.77,-50.69,19.24,2.52,7.13,7.13,7.13,7.13,7.13,44.53,39.05,-36.14,14.2,2.56
Dhunseri Ventures Ltd.,47.10,46.85,10.6,8.49,10.00,40.00,4.42,19.41,249.98,0.19,35.0,721.54,946.53,22.2,2571.72,2774.1,14.52,10.45,-6.3,11.57,10.77,35.03,35.03,35.03,35.03,35.03,50.86,36.61,-22.86,40.52,37.72
Punjab Alkalies and Chemicals Ltd.,28.50,,11.19,-,10.00,0.00,2.55,3.94,10.22,2.79,0.0,375.73,333.64,269.78,245.89,268.51,20.58,-1.78,-11.84,-6.96,-6.31,27.1,27.1,27.1,20.5,20.5,55.86,-4.82,-27.66,-14.25,-12.93
TGV Sraac Ltd Ltd.,12.00,,7.97,-,10.00,0.00,1.51,3.94,47.98,0.25,0.0,1204.58,1046.2,906.92,816.39,776.66,7.43,3.27,2.32,3.07,2.81,96.69,91.86,87.23,82.91,78.76,68.4,29.6,19.44,24.42,22.15
Sadhana Nitrochem Ltd.,117.80,,9.7,1.70,5.00,40.00,12.14,15.19,56.23,2.09,10.0,267.16,110.55,55.73,34.55,48.05,40.38,33.61,2.45,-5.26,4.55,9.32,9.32,9.2,9.2,9.2,75.31,31.37,2.26,-4.84,4.19
Kanchi Karpooram Ltd.,172.55,,63.56,1.16,10.00,20.00,2.71,12.69,151.73,1.14,15.0,187.9,114.62,58.66,56.49,52.84,68.21,36.65,7.33,1.91,0.62,4.19,4.14,4.14,4.14,4.14,28.28,15.18,3.04,0.79,0.26
Amines and Plasticizers Ltd.,21.00,,4.68,1.43,2.00,15.00,4.49,3.13,16.00,1.31,13.0,455.06,325.29,295.16,259.99,299.98,3.14,2.81,2.81,1.77,2.79,11.0,11.0,11.0,11.0,5.5,17.28,15.48,15.48,9.79,7.69
Premier Explosives Ltd.,60.85,61.95,-,4.44,10.00,27.00,-,39.88,194.73,0.31,24.4,240.93,265.91,230.72,184.99,149.49,11.0,8.42,16.65,6.41,6.1,10.75,10.64,8.86,8.86,8.86,11.73,8.73,14.75,5.68,5.32
Pondy Oxides & Chemicals Ltd.,129.50,,25.08,3.09,10.00,40.00,5.16,15.22,233.86,0.55,28.0,1048.89,939.75,759.07,464.67,372.96,60.49,52.33,50.08,18.16,12.03,5.58,5.58,5.58,5.58,5.58,33.73,29.18,27.92,10.13,6.71
Tanfac Industries Ltd.,82.50,,16.67,-,10.00,0.00,4.95,15.22,48.15,1.71,0.0,221.71,161.88,123.28,133.32,119.92,36.06,9.4,3.74,0.4,-5.79,9.98,9.98,9.98,9.98,9.98,35.97,9.68,3.74,0.4,-5.29
Hindustan Organic Chemicals Ltd.,10.00,,-,-,10.00,0.00,-,19.19,15.74,0.64,0.0,471.99,242.33,143.38,109.14,150.13,7.69,-29.65,-38.0,-25.87,-32.08,67.27,67.27,67.27,67.27,67.27,51.67,-199.18,-255.57,-173.77,-215.49
Alufluoride Ltd.,74.95,,12.17,-,10.00,0.00,6.16,15.22,49.87,1.50,0.0,65.51,49.67,36.31,30.51,21.96,11.8,9.22,5.12,3.09,4.34,7.0,7.0,7.0,7.0,7.0,8.26,6.46,3.58,2.16,3.04
Sunshield Chemicals Ltd.,73.25,,3.05,-,10.00,0.00,24.02,40.14,15.33,4.78,0.0,189.69,183.36,165.23,150.23,119.01,0.3,1.64,-7.4,-1.14,-4.33,7.35,7.35,7.35,7.35,7.35,0.22,1.2,-5.44,-0.84,-3.18
Tuticorin Alkali Chemicals and Fertilizers Ltd.,3.04,,-,-,10.00,0.00,-,3.94,-14.31,-,0.0,174.8,133.59,132.55,156.54,132.36,-4.15,-30.51,-23.32,-15.08,-11.57,121.87,14.83,14.83,14.83,14.83,-37.91,-44.75,-34.51,33.64,-17.12
Ganesh Benzoplast Ltd.,24.20,,5.83,-,1.00,0.00,4.15,3.13,21.53,1.12,0.0,211.64,169.16,118.12,119.43,122.27,6.66,15.58,2.88,2.37,0.02,5.18,5.18,5.18,5.71,5.71,31.29,80.69,12.75,48.16,0.08
Lords Chloro Alkali Ltd.,18.00,,6.33,-,10.00,0.00,2.84,3.94,30.01,0.60,0.0,251.14,165.95,121.16,94.43,9.05,9.14,3.24,1.45,2.98,-0.27,25.15,25.15,25.15,25.15,25.15,22.99,8.47,3.65,7.49,-0.67
Indo Borax and Chemicals Ltd.,164.05,,48.49,0.91,10.00,15.00,3.38,15.22,375.08,0.44,15.0,128.35,96.84,66.61,65.37,72.61,54.78,40.91,25.87,28.54,38.52,3.21,3.21,3.21,3.21,3.21,17.58,13.13,8.3,9.16,12.42
Kesar Petroproducts Ltd.,2.85,,-,-,1.00,0.00,-,12.69,9.35,0.30,2.0,154.74,177.82,173.33,144.05,145.77,-0.03,3.16,2.08,1.31,7.02,9.67,9.67,9.67,9.27,7.27,-0.32,30.55,20.08,12.1,5.1
Alkali Metals Ltd.,26.00,25.95,4.33,-,10.00,0.00,5.99,40.14,50.28,0.52,7.8,71.56,64.93,58.06,73.28,68.44,1.85,1.44,0.35,2.21,0.61,10.18,10.18,10.18,10.18,10.18,1.69,1.31,0.35,2.26,0.28
IVP Ltd.,33.80,33.00,-,2.96,10.00,10.00,-,12.69,79.00,0.43,18.0,319.88,270.09,162.36,154.68,163.43,3.28,10.06,10.84,10.09,6.71,10.33,10.33,10.33,10.33,10.33,3.38,10.39,11.19,10.41,6.93
Jayshree Chemicals Ltd.,2.95,,-,-,10.00,0.00,-,3.94,6.05,0.49,0.0,6.86,0.9,0.95,53.17,120.29,-1.58,2.37,0.23,6.65,-9.72,29.33,29.33,29.33,29.33,29.33,-4.63,6.96,0.68,19.5,-28.5
SVC Superchem Ltd.,1.32,,-,-,10.00,0.00,-,18.44,17.53,0.08,0.0,0.05,0.0,0.0,0.0,0.0,-2.36,-0.02,0.0,0.0,0.0,161.86,161.86,161.86,161.86,161.86,-38.15,-0.29,0.0,0.0,0.0
Mysore Petro Chemicals Ltd.,26.00,,5.25,7.69,10.00,20.00,4.95,2.53,133.26,0.20,16.0,32.58,6.23,30.3,23.29,32.87,5.97,81.34,3.08,2.92,10.96,6.59,6.59,6.59,6.59,6.59,3.93,53.55,2.03,1.92,7.22
Shri Chlochem Ltd.,6.09,,0.03,-,10.00,0.00,203,12.69,23.25,0.26,0.0,84.67,81.71,48.03,51.35,55.54,-3.14,0.26,3.03,4.62,2.61,15.02,15.04,10.04,5.03,3.03,-4.72,0.52,1.56,1.47,0.8
Vivid Global Industries Ltd.,10.80,,1.43,4.63,5.00,10.00,7.55,15.19,12.40,0.87,8.52,61.24,48.09,36.01,26.86,27.5,3.72,2.96,1.98,1.07,1.95,4.56,4.56,4.56,4.56,4.44,3.39,2.7,1.81,0.98,0.86
Haryana Leather Chemicals Ltd.,19.80,,3.57,4.04,10.00,8.00,5.55,40.14,62.22,0.32,7.8,36.87,35.57,39.05,39.72,42.38,3.14,3.52,4.08,4.14,2.77,4.91,4.91,4.91,4.91,4.91,1.54,1.73,2.0,2.03,1.36
Venlon Polyester Film Ltd.,1.63,,-,-,5.00,0.00,-,9.49,-7.34,-,0.0,20.01,25.88,29.55,42.1,60.69,-8.08,-2.26,-2.14,-1.85,-1.24,26.12,26.12,26.12,26.12,26.12,-23.53,-7.71,-12.37,-9.67,-6.48
Caprolactum Chemicals Ltd.,15.20,,5.0,-,10.00,0.00,3.04,3.94,5.53,2.75,0.0,5.19,4.07,3.24,5.26,2.85,1.09,0.37,-0.25,1.14,-0.12,4.6,4.59,4.59,4.59,4.59,0.5,0.17,-0.12,0.52,-0.06
VST Industries Ltd.,2778.40,2721.50,185.54,3.42,10.00,950.00,14.67,16.96,430.02,6.46,775.0,1099.01,947.58,948.18,883.15,836.16,146.9,117.79,108.28,99.15,98.57,15.44,15.44,15.44,15.44,15.44,226.84,181.89,167.21,153.11,152.21
Ritesh International Ltd.,6.40,,-,-,10.00,0.00,-,32.36,14.25,0.45,0.0,39.82,35.14,21.23,21.72,28.81,0.06,0.15,0.37,0.01,-2.49,8.55,8.55,8.55,8.55,8.55,0.05,0.13,0.32,0.01,-5.62
The Indian Wood Products Co. L Ltd.,21.65,,1.77,0.92,2.00,10.00,12.23,13.06,54.60,0.40,10.7,200.5,215.65,179.72,119.3,101.47,2.79,27.07,17.28,5.8,21.19,12.8,6.4,6.4,1.6,1.37,17.84,17.32,11.06,3.71,2.63
Padmanabh Industries Ltd.,7.31,,-,-,10.00,0.00,-,19.19,22.40,0.33,0.0,0.0,4.14,1.84,0.31,0.0,-0.21,0.41,-0.03,-0.11,-0.01,6.08,6.08,4.58,4.58,4.58,-0.13,0.23,-0.01,-0.05,-0.04
Godfrey Phillips India Ltd.,953.05,962.50,72.13,1.05,2.00,500.00,13.34,20.34,364.71,2.61,420.0,2477.04,2312.08,2265.32,2411.59,2586.43,46.35,30.92,26.22,31.73,35.21,10.4,10.4,10.4,10.4,10.4,240.97,160.76,136.35,164.98,183.08
Ashok Alco-Chem Ltd.,16.15,,-,6.19,10.00,10.00,-,4.92,94.38,0.17,10.0,170.43,155.78,149.63,339.52,355.04,-6.46,7.71,4.54,26.91,34.96,4.6,4.6,4.6,4.6,4.6,-2.97,3.55,2.09,12.38,14.51
Auroma Coke Ltd.,5.13,,7.95,-,10.00,0.00,0.65,6.75,18.92,0.27,0.0,23.71,16.94,10.4,9.36,17.27,8.33,0.37,-2.44,-2.2,-1.24,6.32,6.32,6.32,6.63,6.63,5.27,0.23,-1.54,-1.39,-0.79
Elgi Equipments Ltd.,109.00,109.40,5.38,1.19,1.00,130.00,20.33,18.60,41.77,2.61,110.0,1177.08,1023.76,891.71,869.13,775.93,5.35,4.86,4.32,1.5,3.51,15.83,15.83,15.83,15.85,15.85,84.74,76.87,68.38,23.78,55.62
Ingersoll Rand (India) Ltd.,620.50,621.20,26.04,0.97,10.00,60.00,23.86,18.60,132.59,4.68,464.0,739.07,614.79,633.66,658.83,655.53,25.64,28.16,24.48,19.72,20.95,31.57,31.57,31.57,31.57,31.57,80.93,88.88,77.27,62.25,66.15
Kirloskar Pneumatic Company Ltd.,95.90,,9.66,2.61,2.00,125.00,9.93,18.60,76.89,1.25,93.0,710.24,600.5,536.63,514.75,443.85,8.6,38.9,41.03,28.32,17.57,12.84,12.84,12.84,12.84,12.84,55.26,49.94,52.7,36.38,22.58
NTC Industries Ltd.,20.80,,2.68,-,10.00,0.00,7.76,16.96,35.75,0.58,0.0,11.29,14.29,13.42,8.89,23.03,2.86,0.35,-0.27,-0.46,1.14,10.75,10.75,10.75,10.75,10.75,3.56,0.13,-0.29,-0.5,1.23
Gujarat Mineral Development Corporation Ltd.,31.00,31.05,9.02,6.45,2.00,100.00,3.44,6.75,134.76,0.23,145.0,1997.33,2069.97,1536.65,1178.71,1418.88,4.36,13.67,10.2,7.06,12.3,63.6,63.6,63.6,63.6,63.6,138.79,434.6,324.23,224.57,500.33
Raghunath International Ltd.,1.86,,0.45,-,10.00,0.00,4.13,4.93,14.63,0.13,0.0,0.0,0.0,0.0,0.0,2.29,0.0,-0.39,0.12,0.26,1.08,5.0,5.0,5.0,5.0,5.0,0.05,-0.2,0.06,0.13,0.54
WPIL Ltd.,294.85,,54.55,2.54,10.00,75.00,5.41,9.17,375.94,0.78,35.0,533.07,422.05,262.94,212.1,233.03,75.19,48.69,17.6,17.59,19.83,9.77,9.77,9.77,9.77,9.77,73.44,47.56,17.19,17.18,16.84
Control Print Ltd.,200.00,196.35,20.54,3.25,10.00,65.00,9.56,8.77,113.63,1.76,58.0,174.6,173.93,147.35,134.52,112.92,18.4,19.99,16.46,16.68,21.13,16.33,16.33,15.67,15.67,9.85,30.05,31.63,26.08,26.45,19.15
Roto Pumps Ltd.,74.85,,11.75,0.67,2.00,25.00,6.37,9.17,54.57,1.37,21.0,127.76,109.12,94.94,94.98,94.28,9.9,5.54,4.26,2.77,4.8,3.09,3.09,3.09,3.09,3.09,15.3,8.56,6.59,4.28,7.42
Dynamatic Technologies Ltd.,444.20,450.05,-,0.45,10.00,20.00,-,4.72,814.96,0.55,4.0,592.15,562.53,505.4,431.37,456.53,50.95,5.98,11.97,2.04,34.74,6.34,6.34,6.34,6.34,6.34,32.3,3.79,7.59,1.29,21.05
Rail Vikas Nigam Ltd.,13.96,13.85,3.73,0.64,10.00,0.90,3.71,13.32,17.93,0.78,18.082,10060.07,7556.56,5919.62,4541.3,3141.97,2.91,2.25,1.83,1.46,0.89,2085.02,2085.02,2085.02,2085.02,2085.02,606.59,469.66,381.61,304.02,185.71
Shakti Pumps (India) Ltd.,112.20,112.50,-,4.46,10.00,50.00,-,9.17,148.25,0.76,28.4,523.11,413.14,411.72,272.22,309.98,17.1,14.75,11.71,1.18,16.43,18.38,18.38,18.38,16.74,16.74,31.43,27.11,21.32,1.98,25.72
Golden Tobacco Ltd.,19.55,20.65,-,-,10.00,0.00,-,16.96,-84.94,-,0.0,76.08,79.63,45.82,44.73,51.59,11.07,-4.57,-15.82,-20.79,-17.42,17.59,17.59,17.59,17.59,17.59,27.29,-8.05,-27.82,-36.57,-30.63
HCL Infosystems Ltd.,3.91,3.80,-,-,2.00,0.00,-,16.96,8.47,0.46,0.0,3581.45,2950.3,2265.36,4312.89,5730.74,-6.27,-24.66,-16.3,-3.2,-8.6,65.84,65.84,44.58,44.58,44.58,-206.33,-631.57,-362.39,-70.89,-191.69
D-Link India Ltd.,60.75,60.40,9.1,1.65,2.00,50.00,6.64,16.96,56.13,1.08,34.0,699.63,641.58,696.64,700.74,625.32,6.63,2.93,4.47,6.06,6.16,7.1,7.1,7.1,7.1,7.1,23.55,10.42,15.86,21.5,21.33
JL Morison (India) Ltd.,1500.00,,34.71,0.07,10.00,10.00,43.22,61.93,1152.23,1.30,10.0,86.8,85.68,77.2,93.79,91.27,53.26,70.64,9.99,20.43,36.02,1.37,1.37,1.37,1.37,1.37,7.27,9.64,1.36,2.79,4.92
Veljan Denison Ltd.,675.00,,65.53,1.48,10.00,100.00,10.3,18.60,630.90,1.07,100.0,87.51,96.22,80.89,78.48,77.64,72.59,72.34,56.26,55.74,57.97,2.25,2.25,2.25,2.25,2.25,16.33,16.28,12.66,12.54,13.04
International Data Management Ltd.,6.30,,-,-,10.00,0.00,-,18.56,-178.06,-,0.0,0.0,0.0,0.0,0.0,0.24,-0.07,44.96,-0.66,-0.55,-0.05,2.2,2.2,2.2,2.2,2.2,-0.16,9.89,-0.14,-0.12,-0.01
TVS Electronics Ltd.,54.90,55.65,4.31,2.73,10.00,15.00,12.91,8.77,46.66,1.18,7.0,2756.84,4176.54,2625.03,593.5,270.06,4.0,8.73,3.85,2.28,1.17,18.61,18.61,18.61,18.55,18.02,7.44,16.24,7.16,4.31,2.29
Cerebra Integrated Technologies Ltd.,18.40,18.05,0.31,-,10.00,0.00,58.23,16.96,18.51,0.99,0.0,261.05,174.38,145.56,133.91,129.82,0.09,1.07,0.27,0.11,-0.14,121.19,120.4,108.5,96.42,84.33,1.06,12.62,2.84,1.0,-0.76
Compuage Infocom Ltd.,7.99,7.95,3.98,5.01,2.00,20.00,2,8.77,27.14,0.29,20.0,4514.83,4074.41,3551.33,2678.73,2128.89,3.48,3.5,3.01,11.93,17.56,13.0,11.75,11.75,11.75,6.66,22.58,20.54,17.67,14.02,11.69
MRO-TEK Realty Ltd.,20.65,36.35,-,-,5.00,0.00,-,15.69,1.96,10.54,0.0,26.92,36.8,37.75,36.74,56.16,-5.28,3.85,4.57,-9.39,-5.98,9.34,9.34,9.34,9.34,9.34,-9.86,7.2,8.3,-28.69,-11.17
Ducon Infratechnologies Ltd.,2.45,2.50,0.08,-,1.00,0.00,31.25,16.96,7.51,0.33,0.0,395.12,415.0,40.82,32.63,36.06,0.61,0.22,0.09,0.05,0.01,10.47,7.84,7.84,7.84,7.84,6.33,2.33,0.69,0.39,0.1
NCC Ltd.,18.70,18.70,7.31,8.02,2.00,75.00,2.56,13.32,78.03,0.24,39.0,12079.76,7559.33,7892.07,8325.16,8296.94,9.39,5.09,4.06,4.01,2.56,120.13,120.13,111.19,111.19,111.19,563.91,286.8,225.5,222.85,111.79
