stock_name,price_nse,price_bse,eps,dividend_yield,face_value,dividend,p_to_e,industry_p_to_e,book_value,p_to_b,avg_dividend,2019 Net,2018 Net,2017 Net,2016 Net,2015 Net,2019 EPS,2018 EPS,2017 EPS,2016 EPS,2015 EPS,2019 ESC,2018 ESC,2017 ESC,2016 ESC,2015 ESC,2019 Profit,2018 Profit,2017 Profit,2016 Profit,2015 Profit
Sun Pharmaceutical Industries Ltd.,343.55,343.55,13.02,0.80,1.00,275.00,26.39,28.81,95.21,3.61,245.0,10303.21,7947.6,7806.7,7863.69,8017.2,3.4,-2.1,-0.1,-4.5,-6.12,239.93,239.93,239.93,240.66,207.12,816.6,-494.59,-34.95,-1087.51,-1474.13
Pidilite Industries Ltd.,1299.40,1297.30,23.33,0.50,1.00,650.00,55.61,40.14,82.40,15.77,486.0,6094.66,5354.4,4865.37,4731.03,4398.07,19.28,18.81,15.09,14.57,9.79,50.8,50.78,51.27,51.27,51.27,979.44,955.19,773.79,746.72,501.86
Power Grid Corporation of India Ltd.,155.95,154.60,20.42,5.34,10.00,83.30,7.57,10.44,112.81,1.38,44.48,34119.12,29752.46,25716.54,20665.81,17177.23,19.0,15.35,14.37,11.37,9.52,5231.59,5231.59,5231.59,5231.59,5231.59,9938.55,8238.96,7520.15,5948.5,4979.17
Titan Company Ltd.,936.75,936.05,16.39,0.53,1.00,500.00,57.11,51.14,69.63,13.45,317.0,19069.97,15621.3,12614.54,11084.05,11903.21,15.48,13.1,8.58,7.86,9.27,88.78,88.78,88.78,88.78,88.78,1374.36,1162.87,761.86,697.57,823.07
Coal India Ltd.,139.40,139.45,8.06,9.40,10.00,131.00,17.3,6.75,22.71,6.14,195.2,934.3,364.5,289.88,165.53,387.12,16.87,14.97,23.13,26.27,21.19,6162.73,6207.41,6207.41,6316.36,6316.36,10469.67,9293.42,14500.53,16593.0,13383.39
Hindustan Zinc Ltd.,160.50,160.45,17.7,12.46,2.00,1000.00,9.06,8.24,79.53,2.02,896.0,21118.0,22084.0,18797.99,15463.13,14788.39,18.83,21.95,19.68,19.35,19.35,845.0,845.0,845.06,845.06,845.06,7956.0,9276.0,8315.59,8175.36,8178.0
Britannia Industries Ltd.,2561.00,2564.85,57.92,0.59,1.00,1500.00,44.28,55.17,167.98,15.25,1130.0,10482.45,9304.06,8414.37,7731.7,7175.99,46.71,78.96,70.31,63.63,51.9,24.03,24.01,24.0,24.0,23.99,1122.2,947.89,843.69,763.31,622.41
Bharat Petroleum Corporation Ltd.,303.20,302.95,33.05,6.27,10.00,190.00,9.17,13.59,170.29,1.78,252.0,297275.05,236313.1,202210.57,188404.64,238086.9,36.26,40.26,61.31,53.81,70.32,1966.88,1966.88,1311.25,655.62,723.08,7132.02,7919.34,8039.3,7056.36,5084.51
HDFC Life Insurance Company Ltd.,429.65,429.90,6.68,0.38,10.00,16.30,64.36,54.57,28.02,15.33,11.38,1615.3,1282.46,1013.2,887.08,871.78,6.34,5.53,4.47,4.1,3.94,2017.38,2011.74,1998.48,1995.29,1994.88,1276.79,1109.0,892.13,818.4,785.51
Indian Oil Corporation Ltd.,79.00,78.95,13.38,11.71,10.00,92.50,5.9,13.59,115.67,0.68,139.7,527692.69,424038.7,359873.16,347176.43,437526.13,17.89,22.52,40.31,23.72,21.72,9414.16,9711.81,4855.9,2427.95,2427.95,16894.15,21346.12,19106.4,11242.23,5273.03
Bajaj Auto Ltd.,2047.65,2051.10,176.08,2.93,10.00,600.00,11.65,12.06,752.67,2.72,560.0,30249.96,25164.92,21766.68,22586.52,21612.01,161.6,140.6,132.3,135.8,97.2,289.37,289.37,289.37,289.37,289.37,4675.18,4068.1,3827.56,3929.67,2813.74
Bajaj Finserv Ltd.,4499.30,4501.90,22.03,0.06,5.00,50.00,204.35,23.33,198.63,22.65,38.0,423.05,239.76,153.9,242.32,200.24,19.3,8.9,4.4,10.3,7.9,79.57,79.57,79.57,79.57,79.56,307.17,141.34,70.02,163.13,125.93
UltraTech Cement Ltd.,3141.85,3140.65,121.21,0.37,10.00,115.00,25.91,28.61,968.77,3.24,101.0,35703.5,29790.1,23891.43,23708.79,22936.17,89.48,81.27,95.74,86.37,73.44,274.64,274.61,274.51,274.43,274.4,2455.72,2231.28,2627.72,2370.16,2014.73
SBI Life Insurance Company Ltd.,635.40,635.10,13.49,0.31,10.00,20.00,47.08,54.57,75.76,8.39,15.8,1504.16,1281.46,1056.15,969.51,983.38,13.27,11.5,9.55,8.44,8.15,1000.0,1000.0,1000.0,1000.0,1000.0,1326.8,1150.38,954.65,844.1,814.87
Dr Reddys Laboratories Ltd.,3100.00,3095.00,158.73,0.65,5.00,400.00,19.5,28.81,763.32,4.06,400.0,10625.5,9359.3,9719.8,10291.9,10010.94,76.98,34.19,83.05,80.59,98.6,83.0,83.0,82.9,85.3,85.2,1277.3,566.9,1384.1,1374.3,1679.35
Divis Laboratories Ltd.,1881.50,1877.00,47.85,0.85,2.00,800.00,39.23,28.81,262.68,7.16,660.0,4879.66,3837.23,4065.77,3749.85,3084.01,50.2,32.76,39.68,41.84,63.82,53.09,53.09,53.09,53.09,26.55,1332.65,869.58,1053.27,1110.84,847.06
Shree Cements Ltd.,16566.50,16549.65,361.13,0.36,10.00,600.00,45.83,28.61,2660.32,6.23,592.0,11722.0,9833.1,8429.16,6453.57,5887.31,273.0,397.33,384.39,122.38,225.98,34.84,34.84,34.84,34.84,34.84,951.05,1384.18,1339.11,426.33,787.24
SBI Cards & Payment Services Ltd.,607.65,608.05,-,-,10.00,0,-,23.33,39.13,15.53
ICICI Lombard General Insurance Company Ltd.,1103.00,1105.75,25.07,0.54,10.00,60.00,44.11,41.39,118.83,9.28,35.5,1691.43,1329.6,1016.48,709.8,740.35,23.11,19.01,15.66,11.3,13.14,454.31,453.95,451.15,447.54,446.59,1049.27,861.78,701.88,704.8,704.73
GlaxoSmithKline Consumer Healthcare Ltd.,9530.55,9548.55,274.83,1.10,10.00,1050.00,34.74,55.17,973.64,9.79,750.0,4782.01,4316.51,3986.46,4136.27,4307.59,233.69,166.47,156.15,163.42,138.77,42.06,42.06,42.06,42.06,42.06,982.8,700.1,656.67,687.28,583.6
Adani Ports and Special Economic Zone Ltd.,245.75,244.80,10.38,0.08,2.00,10.00,23.58,24.85,100.00,2.46,57.0,5336.38,6533.82,4878.86,4619.17,3909.36,12.74,11.63,14.97,14.31,10.55,414.19,414.19,414.19,414.19,414.01,2637.72,2408.1,3100.61,2964.5,2183.14
Tech Mahindra Ltd.,512.90,511.20,41.81,2.73,5.00,280.00,12.23,18.56,209.32,2.45,220.0,27219.6,23661.18,23165.39,20969.81,19162.65,44.58,40.84,31.37,32.98,22.94,491.7,489.69,486.77,483.9,480.4,4380.4,3999.3,3047.33,3177.27,2256.23
Godrej Consumer Products Ltd.,550.00,548.75,18.06,2.73,1.00,1500.00,30.38,61.93,48.19,11.41,1005.0,5679.31,5261.02,4748.1,4554.22,4429.8,17.17,14.68,24.9,21.22,19.22,102.22,68.13,34.06,34.05,34.04,1754.98,999.87,848.03,722.67,654.45
